#id, fame, kingdom, citizen, name, sub1, sub2, sub3
0, 1, 1, 1, 1, 1, 1, 1
1, 0, 7, 1, 0, FRANGOS, , , 
2, 0, 7, 1, 0, REAL, , , 
3, 0, 8, 1, 0, FURIUS, , , 
4, 0, 7, 1, 0, AdmTest, , , 
5, 0, 7, 1, 0, AdmTeste2, , , 
6, 0, 7, 1, 0, FENIX, , , 
7, 0, 7, 1, 0, KILLEX, , , 
8, 0, 7, 1, 0, GOOX, , , 
9, 0, 8, 1, 0, Fuxedianos, , , 
10, 0, 8, 1, 0, GuildTest, , , 
11, 0, 8, 1, 0, Tester, , , 
12, 0, 7, 1, 0, guild, , , 
13, 0, 8, 1, 0, WAR, StoneBlack, , 
14, 0, 7, 1, 0, BLUEPOWER, , , 
15, 0, 8, 1, 0, PeakyBlinders, , , 
16, 0, 7, 1, 0, [GEFORCE], , , 
17, 0, 7, 1, 0, [ASGARD], , , 
18, 0, 8, 1, 0, REDX, , , 
19, 0, 8, 1, 0, VERMELHOS, , , 
20, 0, 7, 1, 0, AZUIS, , , 
