1,TransKnight,0.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,1,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,2,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TransKnight,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,1,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,2,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,TransKnight,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,1,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,2,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,TransKnight,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,1,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,2,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,TransKnight,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,1,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,2,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Foema,0.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,2,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,4,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Foema,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,2,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,4,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Foema,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,2,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,4,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Foema,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,2,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,4,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Foema,40.0,0.0.0.0.0,0,0,1,0,0,0,0,EF_CLASS,2,EF_RANGE,1,EF_REGENHP,2,EF_REGENMP,4,EF_CRITICAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
